date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:30	1080/1080	---M--	200	added ('OK')	image/jpeg	etag:%22438-55d4e7b1ec680%22	http://www.freereikicourse.com/img/hp/base/ba32.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba32.jpg	(from http://www.freereikicourse.com/)
12:25:30	992/992	---M--	200	added ('OK')	image/jpeg	etag:%223e0-55d4e7af0ffc0%22	http://www.freereikicourse.com/img/hp/base/tabletile1.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/tabletile1.jpg	(from http://www.freereikicourse.com/)
12:25:31	10949/10949	---M--	200	added ('OK')	image/jpeg	etag:%222ac5-55d4e7c03a840%22	http://www.freereikicourse.com/img/hp/titles/st.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/titles/st.jpg	(from http://www.freereikicourse.com/)
12:25:31	2176/2176	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2006%20Nov%202017%2012:25:30%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit&hl=en	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/translate.google.com/translate_a/element.32a039.delayed	(from http://www.freereikicourse.com/)
12:25:32	4350/4350	---M--	200	added ('OK')	image/jpeg	etag:%2210fe-55d4e772fb200%22	http://www.freereikicourse.com/images/imagesMASTER.jpg?875	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/images/imagesMASTER4b0a.jpg	(from http://www.freereikicourse.com/)
12:25:32	9964/9964	---M--	200	added ('OK')	image/jpeg	etag:%2226ec-55d4e7a586940%22	http://www.freereikicourse.com/img/hp/base/ba30.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba30.jpg	(from http://www.freereikicourse.com/)
12:25:32	956/956	---M--	200	added ('OK')	image/jpeg	etag:%223bc-55d4e7a957240%22	http://www.freereikicourse.com/img/hp/base/tabletile2.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/tabletile2.jpg	(from http://www.freereikicourse.com/)
12:25:33	5320/5320	---M--	200	added ('OK')	image/jpeg	etag:%2214c8-55d4e79ed9980%22	http://www.freereikicourse.com/img/hp/base/ba19.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba19.jpg	(from http://www.freereikicourse.com/)
12:25:33	2345/2345	---M--	200	added ('OK')	image/jpeg	etag:%22929-55d4e7a586940%22	http://www.freereikicourse.com/img/hp/base/ba20.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/ba20.jpg	(from http://www.freereikicourse.com/)
12:25:33	17782/17782	---M--	200	added ('OK')	image/jpeg	etag:%224576-55d4e7b0f8440%22	http://www.freereikicourse.com/img/hp/base/mesg2.jpg	D:/dev/www.freereikicourse.com/www.freereikicourse.com_/www.freereikicourse.com/img/hp/base/mesg2.jpg	(from http://www.freereikicourse.com/)
